timeStemp,AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi,label_numeric,label_coor,coordinate
493455262,-61.0,-70.0,-62.0,-60.0,,,
493451725,-62.0,-69.0,-63.0,-61.0,,,
493450245,-61.0,-70.0,-63.0,-60.0,,,
493452498,-56.0,-69.0,-62.0,-60.0,,,
493451297,-61.0,-70.0,-61.0,,,,
493452122,-62.0,-69.0,-62.0,-59.0,,,
493451080,-61.0,-70.0,-65.0,-55.0,,,
493448974,-59.0,-70.0,-60.0,-57.0,,,
493450289,-61.0,-70.0,-63.0,-60.0,,,
493454178,-53.0,-70.0,-61.0,-60.0,,,
493449952,-61.0,-70.0,-62.0,-59.0,,,
493453962,-61.0,-70.0,-64.0,-61.0,,,
493450736,-61.0,-70.0,-62.0,-60.0,,,
493453772,-61.0,-69.0,-59.0,-58.0,,,
493450347,-61.0,-70.0,-63.0,-60.0,,,
493451022,-61.0,-70.0,-65.0,-61.0,,,
493453903,-56.0,-70.0,-65.0,-59.0,,,
493454755,-60.0,-69.0,-61.0,-60.0,,,
493453222,-61.0,-70.0,-60.0,-59.0,,,
493450361,-61.0,-70.0,-62.0,-59.0,,,
493452947,-61.0,-69.0,-61.0,-61.0,,,
493449938,-61.0,-70.0,-62.0,-59.0,,,
493449316,-61.0,-70.0,-63.0,-60.0,,,
493449502,-61.0,-70.0,-60.0,-60.0,,,
493451036,-61.0,-70.0,-64.0,-61.0,,,
493450721,-61.0,-70.0,-61.0,-59.0,,,
493451562,-60.0,-69.0,-64.0,-60.0,,,
493451840,-62.0,-69.0,-64.0,-60.0,,,
493451548,-55.0,-70.0,-61.0,-60.0,,,
493449924,-61.0,-70.0,-62.0,-55.0,,,
493455132,-62.0,-70.0,-61.0,-55.0,,,
493452903,-61.0,-69.0,-56.0,-55.0,,,
493454266,-61.0,-69.0,-61.0,-55.0,,,
493453526,-61.0,-69.0,-60.0,-61.0,,,
493452832,-61.0,-69.0,-61.0,-60.0,,,
493454136,-60.0,-68.0,,,,,
493455160,-61.0,-69.0,-63.0,-60.0,,,
493450766,-61.0,-70.0,-63.0,-60.0,,,
493451065,-61.0,-70.0,-65.0,-61.0,,,
493454295,-61.0,-70.0,-61.0,-60.0,,,
493452860,-62.0,-70.0,-61.0,-60.0,,,
493452136,-61.0,-69.0,-62.0,-60.0,,,
493452211,-61.0,-69.0,-62.0,-53.0,,,
493450203,-61.0,-70.0,-63.0,-60.0,,,
493454595,-61.0,-70.0,-62.0,-59.0,,,
493452078,-62.0,-69.0,-63.0,-60.0,,,
