timeStemp,AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi,label,label_coor,coordinate
553295611,-59.0,-71.0,-54.0,-65.0,31.0,"(6.0, 0)",1-11
553292408,-59.0,-71.0,-54.0,-59.0,31.0,"(6.0, 0)",1-11
553290912,-59.0,-71.0,-51.0,-56.0,31.0,"(6.0, 0)",1-11
553290484,-60.0,-71.0,-53.0,,31.0,"(6.0, 0)",1-11
553294908,-59.0,-71.0,-49.0,-65.0,31.0,"(6.0, 0)",1-11
553293285,-60.0,-71.0,-54.0,-64.0,31.0,"(6.0, 0)",1-11
553294225,-59.0,-70.0,-49.0,,31.0,"(6.0, 0)",1-11
553292140,-59.0,-71.0,-54.0,-60.0,31.0,"(6.0, 0)",1-11
553293188,-55.0,-71.0,-52.0,-61.0,31.0,"(6.0, 0)",1-11
553294340,-59.0,-71.0,-54.0,-60.0,31.0,"(6.0, 0)",1-11
553295687,-59.0,-71.0,-50.0,-61.0,31.0,"(6.0, 0)",1-11
553294759,-59.0,-71.0,-54.0,-65.0,31.0,"(6.0, 0)",1-11
553294620,-60.0,-71.0,-54.0,-60.0,31.0,"(6.0, 0)",1-11
553292217,-59.0,-71.0,-52.0,-63.0,31.0,"(6.0, 0)",1-11
553296374,-60.0,-71.0,-51.0,-64.0,31.0,"(6.0, 0)",1-11
553294892,-59.0,-71.0,-52.0,-61.0,31.0,"(6.0, 0)",1-11
553296625,-59.0,-71.0,-55.0,-59.0,31.0,"(6.0, 0)",1-11
553295414,-59.0,-71.0,-54.0,-67.0,31.0,"(6.0, 0)",1-11
553294008,-51.0,-71.0,-54.0,-64.0,31.0,"(6.0, 0)",1-11
553296283,-60.0,-71.0,-49.0,-65.0,31.0,"(6.0, 0)",1-11
553296561,-60.0,-71.0,-53.0,-66.0,31.0,"(6.0, 0)",1-11
553292959,-55.0,-70.0,-49.0,-64.0,31.0,"(6.0, 0)",1-11
553294530,-59.0,-71.0,-50.0,-64.0,31.0,"(6.0, 0)",1-11
553292525,-59.0,-71.0,-54.0,-64.0,31.0,"(6.0, 0)",1-11
553292796,-59.0,-71.0,-54.0,-59.0,31.0,"(6.0, 0)",1-11
553293506,-60.0,-71.0,-53.0,-62.0,31.0,"(6.0, 0)",1-11
553293475,-59.0,-71.0,-49.0,-62.0,31.0,"(6.0, 0)",1-11
553296744,-59.0,-71.0,-57.0,-60.0,31.0,"(6.0, 0)",1-11
553290318,-61.0,-71.0,-62.0,,31.0,"(6.0, 0)",1-11
553293994,-59.0,-71.0,-55.0,-59.0,31.0,"(6.0, 0)",1-11
553293581,-59.0,-71.0,-54.0,-58.0,31.0,"(6.0, 0)",1-11
553292186,-59.0,-71.0,-51.0,-64.0,31.0,"(6.0, 0)",1-11
553292270,-59.0,-71.0,-51.0,-61.0,31.0,"(6.0, 0)",1-11
553293878,,-71.0,,,31.0,"(6.0, 0)",1-11
553295626,-60.0,-71.0,-54.0,-66.0,31.0,"(6.0, 0)",1-11
553296698,-60.0,-71.0,-50.0,-66.0,31.0,"(6.0, 0)",1-11
553292372,-59.0,-71.0,-49.0,-59.0,31.0,"(6.0, 0)",1-11
553296515,-59.0,-71.0,-49.0,-63.0,31.0,"(6.0, 0)",1-11
553292055,-59.0,-71.0,-54.0,-64.0,31.0,"(6.0, 0)",1-11
553295224,-59.0,-71.0,-54.0,-59.0,31.0,"(6.0, 0)",1-11
553292477,-59.0,-71.0,-54.0,-64.0,31.0,"(6.0, 0)",1-11
553295134,-59.0,-71.0,-50.0,-66.0,31.0,"(6.0, 0)",1-11
553291021,-59.0,-71.0,-54.0,-61.0,31.0,"(6.0, 0)",1-11
553296360,-60.0,-71.0,-53.0,-64.0,31.0,"(6.0, 0)",1-11
553291365,-60.0,-71.0,-52.0,-64.0,31.0,"(6.0, 0)",1-11
553291688,,-71.0,,,31.0,"(6.0, 0)",1-11
553294158,-54.0,-71.0,-55.0,-66.0,31.0,"(6.0, 0)",1-11
553293303,-60.0,-71.0,-52.0,-58.0,31.0,"(6.0, 0)",1-11
553292876,-60.0,-71.0,-50.0,-59.0,31.0,"(6.0, 0)",1-11
553290496,-59.0,-71.0,-54.0,,31.0,"(6.0, 0)",1-11
553290856,-59.0,-71.0,-54.0,-61.0,31.0,"(6.0, 0)",1-11
553290758,-59.0,-71.0,-50.0,,31.0,"(6.0, 0)",1-11
553293051,-55.0,-71.0,-51.0,-64.0,31.0,"(6.0, 0)",1-11
553292603,-59.0,-71.0,-53.0,-64.0,31.0,"(6.0, 0)",1-11
553295560,-59.0,-71.0,-54.0,-64.0,31.0,"(6.0, 0)",1-11
553294807,-52.0,-71.0,-52.0,-64.0,31.0,"(6.0, 0)",1-11
553293846,-60.0,-71.0,-54.0,-58.0,31.0,"(6.0, 0)",1-11
553291849,-59.0,-71.0,-52.0,-64.0,31.0,"(6.0, 0)",1-11
553291122,-59.0,-71.0,,-63.0,31.0,"(6.0, 0)",1-11
553294123,-60.0,-71.0,-55.0,-59.0,31.0,"(6.0, 0)",1-11
553295259,-59.0,-71.0,-55.0,-65.0,31.0,"(6.0, 0)",1-11
553295338,-59.0,-71.0,,,31.0,"(6.0, 0)",1-11
553293174,-60.0,-71.0,-55.0,-64.0,31.0,"(6.0, 0)",1-11
553290966,-59.0,-71.0,-54.0,-60.0,31.0,"(6.0, 0)",1-11
553295431,-59.0,-71.0,-54.0,-66.0,31.0,"(6.0, 0)",1-11
553293611,-59.0,-71.0,-54.0,-62.0,31.0,"(6.0, 0)",1-11
553294775,-59.0,-71.0,-51.0,-60.0,31.0,"(6.0, 0)",1-11
553294355,-59.0,-71.0,-55.0,-58.0,31.0,"(6.0, 0)",1-11
553296018,-60.0,-71.0,-54.0,-66.0,31.0,"(6.0, 0)",1-11
553290355,-59.0,-71.0,-59.0,,31.0,"(6.0, 0)",1-11
553294387,-55.0,-71.0,-50.0,-64.0,31.0,"(6.0, 0)",1-11
