timeStemp,AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi,label_numeric,label_coor,coordinate
604731946,-62.0,-72.0,-60.0,-47.0,1-1,"(0, 0)","(0, 0)"
604733431,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604735159,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604731229,-62.0,-72.0,-62.0,-47.0,1-1,"(0, 0)","(0, 0)"
604734137,-62.0,-72.0,-62.0,-42.0,1-1,"(0, 0)","(0, 0)"
604730185,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604735794,-62.0,-72.0,-65.0,-46.0,1-1,"(0, 0)","(0, 0)"
604731603,-62.0,-72.0,-65.0,-47.0,1-1,"(0, 0)","(0, 0)"
604734890,-62.0,,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604734779,-61.0,-73.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604732325,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604730779,-62.0,-72.0,-61.0,-47.0,1-1,"(0, 0)","(0, 0)"
604732352,-62.0,-72.0,-64.0,-48.0,1-1,"(0, 0)","(0, 0)"
604731287,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604732565,-62.0,-72.0,-64.0,-48.0,1-1,"(0, 0)","(0, 0)"
604731388,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604735440,-62.0,-72.0,-62.0,-47.0,1-1,"(0, 0)","(0, 0)"
604732579,-62.0,-72.0,-64.0,-43.0,1-1,"(0, 0)","(0, 0)"
604730411,-62.0,-72.0,-62.0,-47.0,1-1,"(0, 0)","(0, 0)"
604734722,,,-64.0,-45.0,1-1,"(0, 0)","(0, 0)"
604731562,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604733264,-62.0,-72.0,-64.0,-48.0,1-1,"(0, 0)","(0, 0)"
604734919,-54.0,-72.0,-64.0,-43.0,1-1,"(0, 0)","(0, 0)"
604730283,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
